Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
C-215_1	1248.0	816.0	358.5	342.5	363.5	384.5	421.5	474.0	532.0	617.5	719.5	824.5	988.5	1165.0	1432.0	1831.0	2494.0	3534.5	5024.0	7635.0	11979.0	18855.5	28837.0	41931.5	56643.0	75411.0	103158.0	138482.5	178141.5	221772.0	277273.5	346131.5	422972.5	517977.0	655590.0	820292.0	1022014.0	1274307.0	1571363.5	1894847.5	2227248.0	2576920.5	2938893.5	3278264.5	3507842.5	3688532.0	3843065.5	3901054.5	3905165.0	3959083.0	3997419.5	3976506.5	3929786.5	3882733.0	3889559.0	3827569.5	3684656.5	3546421.5	3383056.0	3209173.0	3066275.5	2876354.0	2644145.5	2445222.5	2238751.5	1971008.0	1703850.0	1485816.5	1293257.5	1102089.5	902442.0	732207.5	605311.5	501719.5	424682.0	357857.0	290773.5	244537.0	209871.5	174920.5	144130.0	119198.0	99217.0	79480.0	60390.5	46119.0	35017.0	27024.0	18837.0	10857.5	6113.5	3868.0	2702.5	1929.5	1017.5	518.0	526.0	1742.0	5469.0	4080.0	52.0
C-215_2	913.0	629.0	296.5	242.0	251.0	279.5	314.5	379.0	444.5	526.5	616.0	694.5	788.0	896.5	1082.5	1399.5	1972.5	2774.5	3912.5	5862.0	9053.5	14316.5	22065.5	32871.0	44871.5	59398.5	82062.0	113068.5	147865.5	185640.5	235066.0	297346.0	368009.0	456709.0	586041.0	740815.5	926960.0	1158632.5	1444075.5	1759379.5	2086346.5	2441880.0	2819346.0	3182367.0	3440169.5	3645434.0	3818380.0	3893349.5	3911806.0	3987977.5	4038403.0	4012135.0	3959285.5	3919853.0	3944408.5	3881408.0	3735859.0	3607550.5	3431618.5	3243025.5	3108709.5	2919532.5	2681652.5	2482261.0	2273189.0	2000049.0	1727339.5	1504384.0	1313499.5	1122660.5	921697.5	753707.0	626153.0	520424.0	440809.5	372408.5	305519.0	257627.0	221204.5	184308.5	151253.5	122841.0	98526.5	76767.5	57086.0	42678.0	31830.0	24518.0	16784.5	9215.5	5260.5	3572.0	2782.5	2085.5	1100.0	573.0	681.0	3130.0	9273.0	6633.5	56.0
C-215_3	1494.0	984.5	410.5	349.5	370.0	407.5	475.5	551.5	649.0	763.0	829.0	904.5	1033.0	1223.0	1527.5	1998.5	2671.0	3712.5	5300.5	7917.0	12135.0	18710.0	28875.0	41856.0	56427.0	75251.5	102117.5	137783.0	178370.5	223453.0	281683.0	354243.5	434305.0	531569.5	676401.0	849707.5	1051486.0	1300346.5	1587561.0	1896246.5	2202529.5	2501447.5	2812190.5	3097179.0	3257012.0	3371275.0	3502984.5	3564995.0	3554984.5	3589529.0	3621318.0	3586460.0	3507666.0	3439329.5	3437392.5	3379919.0	3263359.5	3131953.5	2984939.5	2823888.0	2677744.0	2508411.0	2288430.5	2107740.0	1925056.5	1667357.5	1424658.0	1249959.5	1094081.5	929514.0	756827.0	619366.5	516543.0	427650.5	363708.0	309575.5	249434.0	210754.0	182072.5	145631.5	117673.5	97552.5	78848.5	59995.0	44834.5	35564.5	28674.0	25144.0	18341.0	9173.5	4713.0	3792.0	3705.5	3155.5	1648.0	677.5	574.0	2012.0	5722.5	4093.5	49.0
C-354_1	1541.0	980.0	371.5	324.0	326.5	338.0	372.0	426.0	491.0	557.0	632.5	745.5	895.0	1040.5	1199.0	1521.5	2063.5	2891.5	4326.0	6945.5	11056.0	17585.5	27767.0	39893.0	53570.0	71093.5	97158.0	130326.0	168097.5	214230.5	271593.5	337535.5	408881.5	497408.0	626874.0	790426.0	991110.0	1241096.0	1552190.0	1898403.0	2248109.5	2616918.0	2990919.5	3357029.0	3617075.0	3812150.5	3976692.5	4023776.0	4038300.0	4100134.5	4128397.0	4111849.5	4080875.0	4075719.0	4130520.5	4072572.0	3916914.0	3788040.0	3658297.5	3505306.5	3397899.5	3257590.0	3004457.5	2729900.5	2468282.5	2185033.5	1883791.0	1632470.5	1415054.0	1199258.0	989746.0	809193.5	671866.5	557893.5	468291.5	396507.0	335173.0	289017.5	248486.5	208734.0	166465.5	131216.5	108825.5	87437.5	66963.5	51930.5	40312.0	31944.5	23034.5	14204.5	8394.0	5348.5	3673.0	2480.5	1266.0	657.5	602.0	1980.5	5555.5	3970.0	70.5
C-354_2	1750.0	1121.0	466.5	428.0	416.5	433.5	488.5	549.0	580.0	628.5	713.0	806.0	931.5	1060.0	1253.5	1677.0	2256.0	3229.0	5017.0	8115.0	12945.5	20576.5	32643.0	46571.5	64086.0	87372.0	121660.5	171524.5	232109.0	308251.0	406392.0	520967.0	645839.5	792525.5	987469.5	1210429.0	1449973.5	1708621.0	1970729.0	2224000.5	2456100.5	2670971.0	2871797.5	3066815.0	3178992.0	3253456.0	3341951.5	3349196.0	3332584.0	3358194.5	3363058.0	3344293.0	3305956.0	3281523.0	3318384.0	3276518.5	3142866.0	3012089.5	2902479.0	2783605.5	2683508.5	2567979.5	2371709.0	2152735.5	1941883.5	1706446.5	1456801.5	1256619.0	1084601.5	913482.0	744584.0	603021.5	495634.5	405377.5	338814.0	286125.0	238991.0	203157.5	171365.5	141155.0	110894.0	84703.5	66911.5	51406.0	36950.0	27111.5	19937.5	15530.0	10560.5	5424.0	2953.5	2322.5	2057.0	1567.0	765.0	367.0	347.5	980.5	2927.5	2164.0	20.5
C-354_3	3134.0	1962.0	679.5	560.0	582.0	630.5	668.5	682.5	738.5	833.5	900.5	998.0	1158.5	1348.5	1545.5	1912.0	2573.0	3616.5	5376.0	8316.0	13049.5	20897.0	32676.5	46464.5	62664.0	83464.5	113749.5	154339.0	199648.5	253794.0	322920.5	403751.5	492107.5	600002.5	760758.0	966092.0	1210169.5	1503330.5	1866393.0	2255536.5	2631214.0	3015465.0	3399318.0	3766303.0	4000800.0	4171371.5	4310292.0	4314473.0	4299841.5	4354993.5	4364740.0	4305544.0	4229798.0	4203065.5	4267988.5	4215345.0	4030056.0	3871714.5	3709533.0	3523102.5	3406563.0	3254382.0	2988057.5	2710969.5	2449255.0	2156157.0	1841173.0	1580635.0	1364097.5	1153009.0	940419.5	761484.0	630010.5	516842.5	431311.0	365619.5	305367.5	261220.5	222362.5	183789.0	144655.0	111999.5	90915.5	71444.0	52796.5	39627.0	29854.0	23907.5	16898.0	9399.0	5355.0	3734.5	2988.5	2249.5	1108.0	491.5	428.5	1399.0	3772.5	2649.5	36.0
P29-215_1	438.0	299.0	163.5	163.5	186.0	232.5	275.0	300.0	339.0	421.5	504.0	576.5	700.5	849.0	1063.5	1495.0	2107.5	2978.0	4415.5	6848.0	10732.0	16949.0	25813.5	37859.0	51596.0	68645.0	93980.0	127736.5	166372.0	208433.0	262184.5	328483.5	399080.0	485255.5	607682.5	748867.5	914821.0	1119005.0	1346014.5	1592530.0	1843897.0	2097623.0	2364750.0	2612129.0	2771213.5	2896507.0	3017845.0	3067594.5	3065896.5	3091939.5	3122313.5	3119256.5	3071858.0	3015009.5	3010959.0	2967873.5	2866935.0	2748409.0	2634651.5	2521707.5	2397959.5	2253296.0	2076111.0	1915691.5	1753299.0	1542314.5	1333202.5	1165541.0	1020253.5	869824.0	712598.5	585245.5	487304.5	404426.5	342923.0	289947.5	236320.5	201519.0	175695.5	145408.5	120343.0	101951.0	86054.0	68088.0	52011.5	41497.5	33185.5	27628.5	20037.0	11473.5	6670.0	4466.5	3317.0	2316.5	1044.0	445.5	354.5	953.0	2454.0	1722.5	38.0
P29-215_2	1920.0	1227.0	495.0	440.5	434.5	453.0	479.5	503.0	531.0	618.0	725.0	820.5	951.5	1109.0	1313.5	1622.5	2197.0	3123.5	4393.0	6648.0	10267.0	15802.0	24249.0	36103.0	49421.0	65728.0	90077.0	123056.5	160999.0	202933.5	257910.0	325917.0	401974.0	496771.0	638136.0	807828.0	1009049.0	1263466.5	1581364.5	1915830.5	2250034.0	2599576.5	2969422.0	3317639.5	3541288.5	3728047.5	3873315.5	3910984.0	3899149.5	3978109.0	4023961.5	3953596.0	3871110.5	3829723.0	3864396.0	3803719.5	3651913.0	3529397.5	3334947.5	3110066.5	2985625.0	2799485.0	2547431.0	2352252.0	2153664.0	1884301.5	1619199.0	1408561.0	1222896.0	1041207.0	852413.0	694360.5	574316.0	474226.5	398302.5	334366.0	273888.0	231286.5	198006.0	162862.5	132948.0	109239.5	89291.0	69730.5	52122.5	39752.5	30231.5	23961.5	16998.5	9621.5	5351.0	3440.5	2601.0	1966.5	1062.5	553.0	548.0	1745.5	5008.5	3615.5	41.0
P29-215_3	2239.0	1457.5	599.5	508.5	511.5	551.5	583.0	615.5	675.5	742.0	829.5	954.0	1076.5	1241.0	1519.5	1901.5	2433.5	3250.5	4540.0	6624.0	9973.5	15424.0	23553.0	34568.0	46883.5	62474.0	85318.0	116093.0	151538.5	190454.5	241748.5	305772.5	378491.5	468549.0	604621.0	768772.5	963348.5	1214417.5	1529618.0	1867109.0	2205185.0	2566899.0	2962298.5	3334244.0	3574730.5	3764943.5	3917179.5	3965858.5	3961051.0	4033247.0	4076292.0	4010164.0	3913909.5	3850499.0	3871566.5	3814682.0	3664713.0	3531852.5	3345505.0	3130605.0	2994958.0	2807675.0	2555084.0	2356022.0	2157726.5	1889440.5	1627816.0	1422178.5	1238862.0	1053108.0	860079.0	700412.0	580127.5	479681.0	403905.5	339357.5	276586.5	231673.5	196760.5	159768.5	129216.0	104855.5	83322.5	63304.0	46445.5	34436.5	25608.5	20860.0	14845.0	7987.0	4261.5	3155.0	2682.0	2087.0	1116.0	548.5	543.0	1975.0	5707.0	4085.5	29.0
