Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
C-215_1	13.334998108030572	8.936277302857286	6.233497531160134	4.415918232588114	3.3001397882545835	2.8004241630939597	2.278695956460928	2.0275021552228645	1.8761167145209503	25.121212181800317	7.522614185780001	12.30042348754128	3.9372006765468357	4.709409143588368	0.4987158400570579	0.7068545324969296
C-215_2	11.371472593517403	8.615692140884597	6.473304154865665	4.812885281676501	3.6250164553611257	2.9540174499759106	2.4381049523246547	2.1146422850896744	1.8437522648498734	25.071984286540903	7.458809219974036	12.459289014031997	4.181687491605056	5.03531406184658	0.6221307561849452	0.9218975912710687
C-215_3	13.685333008749465	9.034371013649057	6.170261656591383	4.17103674304858	3.1150265810882205	2.563824903137564	2.1412685336499355	1.948926652542649	1.6468073690294713	22.45090166430176	7.214779799188197	12.292810444555723	4.512533420675218	6.826244247950151	1.1273942888218214	1.0984796730206616
C-354_1	12.013041495096573	8.426495065492295	6.235175291575152	4.360306004179852	3.3251712017847006	2.657618577983866	2.22208457325341	1.9747513984925695	1.8551404031986078	24.044165991911836	7.55608892381302	12.874976392135265	4.5984301603684266	6.087789554400118	0.7666020939092589	1.0021628724051825
C-354_2	14.192263418884806	8.176252565703612	5.36121655213497	3.8299538793887944	3.00634118761577	2.5541160174975692	2.2068938856403464	2.0162742679457204	1.649963955283706	24.194914655725462	7.778783871211167	13.167514675564384	4.5378023442937625	5.880109989453632	0.640794980835783	0.8068037528208317
C-354_3	10.8367819064356	7.832314297061682	5.672283337134012	4.1832711078535	3.252496117451152	2.614907180098987	2.311010287707776	1.9958829225233958	1.7260408239675868	24.0187609210813	7.939381803127817	13.609998913896614	4.79010350448992	7.049825832757582	0.8635351256208285	1.3034059187923588
P29-215_1	17.69424395586133	9.19966592781579	5.786314983005805	4.107646079893254	3.263905653845809	2.688045201819626	2.3545154027624227	2.0401178368000656	1.8176333937468592	23.456261839752138	6.963463914541598	11.570665704081886	3.6259136701678227	4.481942353004972	0.504051949697843	0.4456121332027584
P29-215_2	10.307852552277206	8.013483009309388	6.600299591260922	4.954053864728936	3.721890953304015	2.9218250543912894	2.399352354928741	2.060836372498372	1.9093192817700202	24.44681613692488	7.403683839926378	12.381155321078555	4.506951090307389	6.213235408486958	0.7997627308537617	1.3594824379530563
P29-215_3	11.898903113064076	9.071425205129009	6.804498800751696	4.828978708256939	3.514463600707592	2.8528619250634466	2.4069400831391903	2.017416173247078	1.773420179081186	23.615723810968937	6.990088403117599	11.955678734948465	4.2465622473566675	6.033807183740966	0.775049537273364	1.2141822941539402
P29-354_1	10.960593928593374	7.5147546727553625	5.5270410858663945	3.987499672885835	3.0723837650565686	2.5778102912244067	2.212068070936907	1.8933449640370685	1.7201618201361655	24.614257281715858	8.126813916930361	13.91088561315001	4.867855360834274	6.890791884781826	0.8797429644133856	1.2439947066821042
P29-354_2	12.12199950173637	8.071366682680244	5.912686691317159	4.188373788529696	3.177084979101686	2.549513617027562	2.244719680737676	1.9386567815216245	1.8354653056931778	23.754320165492903	7.515916400843244	13.369282714141374	4.792869620426523	6.484665286311113	0.8633532470053782	1.1797255374347082
P29-354_3	9.633667669929597	8.055525805946914	7.272500935406177	5.7789513909668475	4.3797912481128325	3.4576669646937517	2.7334807119570836	2.365871166870139	1.9759623307243006	23.436521395492942	6.738767094835447	12.06439593830948	4.171678498716785	5.104289010253658	0.7898550290631906	2.0410748087210684
Q2-215_1	9.502480017337883	8.341887280630216	7.433553181906519	5.498761195671182	4.156163871544929	3.207604568608572	2.490141838560477	2.123919292124358	1.9027569420503032	24.686414202452127	7.0899585392985935	11.38697043930622	3.743419113071013	5.606196653237801	0.9546267088848428	1.8751461553148059
Q2-215_2	10.454719464715783	7.992295737639388	6.433165865018554	4.750677107581498	3.5829430150145307	2.8081853670787025	2.4134327037669348	2.052797369108822	1.819160958927404	24.539852762462782	7.42150038439124	12.703549963420011	4.4056531637975915	6.31033460090847	0.84743481015396	1.4642967260144575
Q2-215_3	9.1448395208137	7.609172603194217	6.745315671072961	5.2304046252708964	3.7736821888498064	3.050514725084409	2.503221726631546	2.132974968831994	1.8203755417550014	24.29347672315711	7.266718276717595	12.147516593356542	4.425177511580911	7.080956624279288	1.0092757165415551	1.7663769828623614
Q2-354_1	14.151216916700237	7.6499657956618075	5.086460916322286	3.5497987548173078	2.815514824189137	2.388136195755133	2.02448322719085	1.7809821957743492	1.5550394563535463	22.623283083945516	7.543892163506544	14.499051697342635	5.1447894152233875	7.115188274271371	1.0436278553208116	1.0285692276248695
Q2-354_2	4.424403870402271	2.1222290844425826	3.006298995694396	3.7169519678268594	3.750117861087343	3.545631794891385	3.044878817876469	2.5353705725065265	2.0630669080668538	23.152652875722584	7.694150066658782	15.824212478486086	6.531699779005484	11.008837389498417	2.0919667806877555	5.487530757146277
Q2-354_3	17.791405955251367	9.463845183142414	5.5979031872366996	3.911755336311287	3.0277294311859126	2.487353926017959	2.0872035198724026	1.7625300199129785	1.5244919583648868	21.474385294379054	6.903218558639964	12.707761483994314	4.414880720371503	5.781409270787558	0.5847293416404644	0.47939681289102565
