Sample	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
C-215_1	8552.0	10534.0	13176.0	12162.0	11763.0	12023.0	12761.0	13105.0	13590.0	15174.0	17358.0	20771.0	22890.0	25780.0	29413.0	35504.0	41172.0	48251.0	56058.0	65620.0	77307.0	93820.0	113651.0	133470.0	153150.0	179850.0	213974.0	261746.0	312621.0	355075.0	408553.0	476526.0	568033.0	676600.0	763125.0	838606.0	982215.0	1412089.0	4155517.0	18557791.0	73081432.0
C-215_2	8045.0	9710.0	12310.0	11363.0	10937.0	11417.0	12434.0	13156.0	14504.0	16704.0	19227.0	24474.0	27109.0	31135.0	35362.0	43524.0	51524.0	59345.0	68058.0	78175.0	92945.0	108414.0	130720.0	150405.0	169728.0	194036.0	223742.0	267730.0	317432.0	355047.0	397746.0	453568.0	535064.0	633532.0	710386.0	774259.0	893272.0	1305305.0	4028709.0	18451551.0	72791958.0
C-215_3	7810.0	9450.0	11891.0	11096.0	10804.0	11522.0	12480.0	12948.0	13346.0	15292.0	17396.0	20937.0	22632.0	24870.0	27771.0	32976.0	38503.0	43675.0	48745.0	57562.0	67131.0	78741.0	94678.0	105951.0	120658.0	141070.0	166032.0	197806.0	232408.0	263609.0	303729.0	355931.0	421657.0	494067.0	561893.0	624973.0	742401.0	1110942.0	3575060.0	16830363.0	67692145.0
C-354_1	9147.0	11244.0	13832.0	12858.0	12583.0	12546.0	13189.0	13453.0	14395.0	16428.0	18071.0	22296.0	25218.0	29208.0	32638.0	40142.0	47445.0	58015.0	67397.0	79147.0	95999.0	116036.0	143695.0	168380.0	192481.0	224700.0	270491.0	330366.0	398437.0	448557.0	509505.0	592992.0	705561.0	839340.0	940017.0	1012318.0	1163521.0	1619341.0	4447719.0	19302863.0	75624190.0
C-354_2	6654.0	8169.0	9973.0	9219.0	8702.0	8907.0	9340.0	9603.0	9754.0	11061.0	12010.0	13487.0	14625.0	16059.0	17744.0	21066.0	24709.0	28219.0	32307.0	37871.0	44890.0	53849.0	65413.0	75902.0	88037.0	105027.0	125600.0	153333.0	187074.0	215785.0	251576.0	296708.0	357430.0	435101.0	503265.0	557088.0	666638.0	1037647.0	3538956.0	16975121.0	70159389.0
C-354_3	8747.0	10466.0	12694.0	11874.0	11004.0	11416.0	12163.0	12305.0	12826.0	14725.0	16316.0	19320.0	20959.0	23889.0	26776.0	32194.0	37474.0	43549.0	50682.0	58535.0	70239.0	83643.0	100584.0	117544.0	136424.0	160477.0	188920.0	230744.0	279660.0	322334.0	373284.0	436222.0	521018.0	624573.0	719263.0	807262.0	948796.0	1399744.0	4419427.0	20572828.0	83209779.0
P29-215_1	5952.0	6959.0	9125.0	8344.0	7954.0	8235.0	8507.0	8485.0	8642.0	9389.0	9884.0	11363.0	12193.0	13205.0	14204.0	16689.0	18999.0	21588.0	25186.0	29346.0	34358.0	41178.0	50356.0	59185.0	68992.0	81387.0	97816.0	120833.0	145518.0	168586.0	196910.0	231834.0	280042.0	337916.0	392552.0	440843.0	537107.0	862523.0	3125006.0	15216478.0	60919613.0
P29-215_2	10211.0	12268.0	15260.0	13595.0	12878.0	12760.0	13295.0	13351.0	13880.0	15189.0	17202.0	20996.0	22399.0	25140.0	27575.0	33604.0	39422.0	47008.0	53605.0	63271.0	75013.0	90525.0	112142.0	131151.0	150236.0	176619.0	212203.0	259833.0	315767.0	359737.0	412741.0	481382.0	574167.0	692917.0	781687.0	853666.0	989960.0	1403866.0	4055507.0	17964023.0	72260873.0
P29-215_3	8272.0	10034.0	12197.0	11818.0	11203.0	11570.0	12324.0	12543.0	13119.0	14786.0	16599.0	20716.0	22232.0	24617.0	27781.0	33507.0	39775.0	47904.0	55240.0	64573.0	75958.0	91630.0	113393.0	134052.0	148936.0	171898.0	206205.0	253937.0	308353.0	345817.0	387680.0	448995.0	539983.0	653993.0	737354.0	793721.0	915105.0	1326151.0	4018013.0	18102828.0	72831149.0
