Sample	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
C-215_1	977224.0	3710.0	4923.0	7055.0	9310.0	12846.0	14638.0	19142.0	24629.0	30671.0	37362.0	44731.0	53766.0	65866.0	82159.0	101987.0	121995.0	140601.0	167311.0	201381.0	248945.0	298782.0	339250.0	390831.0	458931.0	547383.0	653666.0	733170.0	812407.0	912394.0	1095789.0	1801765.0	11210990.0	83808361.0
C-215_2	601355.0	5195.0	6975.0	9719.0	13441.0	18056.0	20772.0	25764.0	33150.0	41378.0	49165.0	57730.0	66726.0	82137.0	97369.0	119624.0	139349.0	158043.0	181778.0	211415.0	255870.0	303888.0	340019.0	380983.0	436725.0	515299.0	611663.0	681972.0	749335.0	824795.0	991419.0	1686397.0	11068439.0	83507366.0
C-215_3	739805.0	4088.0	5548.0	7609.0	10007.0	12740.0	14437.0	17869.0	22834.0	28611.0	33712.0	38451.0	46117.0	56337.0	68278.0	83694.0	95227.0	108932.0	129695.0	154572.0	186411.0	219526.0	249312.0	287892.0	340239.0	403063.0	473707.0	532713.0	600273.0	679154.0	822371.0	1445363.0	10053251.0	77562846.0
C-354_1	1449600.0	4207.0	5920.0	7829.0	11186.0	15067.0	17657.0	22511.0	29412.0	36951.0	47096.0	56422.0	67228.0	84163.0	104461.0	131865.0	156721.0	180364.0	212318.0	257442.0	317559.0	383327.0	432303.0	491199.0	574953.0	684370.0	815963.0	909426.0	987673.0	1093231.0	1299547.0	2040944.0	11669338.0	86713452.0
C-354_2	493630.0	1884.0	2479.0	3655.0	4865.0	6471.0	7490.0	9608.0	12754.0	16124.0	19621.0	23529.0	28718.0	35732.0	44812.0	56358.0	67040.0	78852.0	95742.0	115885.0	143484.0	176269.0	203790.0	238501.0	283526.0	342219.0	415999.0	476892.0	535794.0	607534.0	752940.0	1391344.0	10227644.0	79897510.0
C-354_3	1022370.0	3165.0	4231.0	5977.0	8324.0	11177.0	12752.0	16542.0	21581.0	27005.0	32775.0	39508.0	46983.0	58818.0	72281.0	88958.0	106223.0	124764.0	148414.0	176427.0	218040.0	265629.0	306975.0	356456.0	419120.0	501044.0	600310.0	687686.0	780769.0	875296.0	1053585.0	1819681.0	12398980.0	95049528.0
P29-215_1	195527.0	1334.0	1723.0	2443.0	3351.0	4413.0	5236.0	6776.0	8882.0	11353.0	14132.0	17096.0	20775.0	26290.0	32941.0	41905.0	50844.0	60158.0	72561.0	89098.0	111653.0	135713.0	157488.0	185083.0	219326.0	265868.0	320916.0	368831.0	419916.0	480897.0	601953.0	1163106.0	9029902.0	69830866.0
P29-215_2	1436355.0	3320.0	4260.0	6371.0	8534.0	12030.0	13320.0	17083.0	22400.0	28281.0	35883.0	42511.0	50799.0	63488.0	78770.0	100298.0	119686.0	137767.0	163890.0	199474.0	246860.0	301430.0	343470.0	394734.0	463724.0	553663.0	669932.0	751762.0	828249.0	921647.0	1098754.0	1791180.0	10894825.0	82672983.0
P29-215_3	919420.0	3614.0	4756.0	6651.0	9132.0	12652.0	14145.0	17855.0	23438.0	29702.0	37648.0	44739.0	53005.0	64857.0	80694.0	102146.0	123068.0	137630.0	160279.0	194242.0	241844.0	295291.0	330899.0	370923.0	432889.0	520343.0	632558.0	709614.0	769059.0	847742.0	1021701.0	1733571.0	10934741.0	83260723.0
