Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
C-215_1 - Adapter 1	0.3846046159361585	0.45970155015843694	0.6519280191923569	0.07566321250820077	0.5889791371455155	0.13026063782259223	1.2691136250621582	1.0330681253107907	16.611138736946792	77.08457711442786	312.54980079681275	119.68253968253968	406.1904761904762	126.19047619047619	544.6031746031746	350.7936507936508	268.57142857142856	332.06349206349205	252.22222222222223	240.15873015873018	261.58730158730157	221.74603174603175	338.25396825396825	212.38095238095238	215.0793650793651	154.76190476190476	187.14285714285714	170.15873015873015	173.015873015873	176.5079365079365	193.80952380952382	180.0	233.015873015873	154.28571428571428	122.06349206349206	58.57142857142858	70.15873015873017	82.38095238095238	96.34920634920636	101.11111111111111	95.3968253968254	125.3968253968254	142.85714285714286	91.74603174603175	87.77777777777779	92.6984126984127	88.0952380952381	88.73015873015873	83.4920634920635	76.5079365079365	111.26984126984128	94.12698412698413	77.14285714285714	91.5873015873016	96.19047619047619	75.39682539682539	56.34920634920635	138.0952380952381	64.76190476190476	56.82539682539683	67.93650793650794	66.82539682539682	66.66666666666667	64.44444444444444	86.66666666666667	65.23809523809524	65.07936507936508	94.44444444444444	71.42857142857143	70.63492063492063	62.6984126984127	98.25396825396825	48.25396825396825	49.84126984126984	121.90476190476191	44.44444444444444	89.52380952380953	79.68253968253968	57.301587301587304	89.52380952380953	69.36507936507937	69.84126984126985	85.71428571428572	69.2063492063492	78.0952380952381	68.25396825396825	78.41269841269842	87.93650793650794	73.96825396825398	80.0	76.66666666666667	58.25396825396825	75.23809523809524	77.14285714285714	56.82539682539683	85.87301587301587	57.61904761904762	136.984126984127	87.3015873015873	185.71428571428572	1938.4126984126985
C-215_2 - Adapter 1	0.3893394459605574	0.46262618201445066	0.658694279456769	0.07651774429627019	0.5822546929814657	0.1272474491599312	1.2509425662938292	1.0292823928616313	16.269482151835092	76.44221105527639	305.5020080321285	122.74193548387096	373.06451612903226	130.0	510.4838709677419	348.5483870967742	247.5806451612903	323.7096774193548	238.38709677419354	215.64516129032256	252.74193548387095	239.03225806451613	362.258064516129	225.80645161290323	224.3548387096774	167.25806451612902	212.41935483870967	177.41935483870967	154.83870967741936	172.25806451612902	209.3548387096774	186.1290322580645	146.93548387096774	123.70967741935483	162.25806451612902	125.64516129032258	158.2258064516129	137.09677419354838	107.41935483870968	88.2258064516129	56.61290322580645	107.09677419354838	146.29032258064515	96.93548387096774	96.29032258064515	98.38709677419355	85.16129032258064	95.96774193548387	97.58064516129032	80.0	93.38709677419355	88.87096774193549	72.90322580645162	85.80645161290322	90.32258064516128	75.32258064516128	58.54838709677419	135.48387096774192	66.12903225806451	57.58064516129032	55.64516129032258	56.29032258064516	63.70967741935484	67.25806451612902	83.70967741935483	64.6774193548387	66.61290322580645	90.80645161290322	71.77419354838709	68.87096774193549	59.354838709677416	95.64516129032258	43.387096774193544	46.12903225806451	133.38709677419354	40.0	83.06451612903226	71.12903225806451	60.16129032258064	83.38709677419355	70.0	70.64516129032258	89.03225806451613	69.51612903225806	64.83870967741936	76.61290322580645	79.6774193548387	81.45161290322581	70.96774193548387	73.06451612903226	72.41935483870968	54.193548387096776	64.83870967741936	68.38709677419355	50.64516129032258	82.90322580645162	58.064516129032256	145.96774193548387	99.35483870967742	188.06451612903226	2923.2258064516127
C-215_3 - Adapter 1	0.3912794645345768	0.4646570415020619	0.6459295301613274	0.07596821286320041	0.5892560849600624	0.12047727867123421	1.2484993997599039	1.0139260478836523	16.276070252469815	69.60482985729968	350.5701754385965	118.0701754385965	338.9473684210526	111.9298245614035	456.84210526315786	316.49122807017545	226.8421052631579	270.70175438596493	212.28070175438594	218.42105263157893	240.35087719298244	199.64912280701753	288.0701754385965	191.4035087719298	204.73684210526315	153.859649122807	181.57894736842104	191.75438596491227	178.7719298245614	369.82456140350877	187.71929824561403	175.96491228070175	145.96491228070175	102.98245614035088	118.7719298245614	100.7017543859649	112.80701754385964	103.85964912280701	90.0	105.78947368421052	102.63157894736842	144.91228070175438	125.61403508771929	90.52631578947368	106.66666666666666	113.68421052631578	103.33333333333333	101.9298245614035	112.63157894736841	79.82456140350877	99.82456140350877	97.36842105263158	67.54385964912281	80.0	80.0	79.64912280701755	54.56140350877193	142.10526315789474	82.45614035087719	73.85964912280701	67.36842105263158	82.98245614035088	75.6140350877193	76.66666666666666	88.59649122807018	63.68421052631579	71.57894736842105	92.28070175438596	68.0701754385965	62.280701754385966	60.87719298245614	94.73684210526315	48.94736842105263	53.33333333333333	143.859649122807	44.21052631578947	86.14035087719299	75.6140350877193	68.94736842105263	88.24561403508771	71.22807017543859	61.05263157894737	77.89473684210526	77.89473684210526	65.26315789473684	72.45614035087719	81.22807017543859	84.03508771929825	74.3859649122807	69.29824561403508	80.87719298245614	58.94736842105263	92.63157894736842	71.05263157894737	63.50877192982456	87.36842105263158	61.40350877192982	151.2280701754386	110.0	253.50877192982455	5709.473684210526
C-354_1 - Adapter 1	0.37760197883520336	0.4442706877361872	0.6389282386487841	0.08316941165052519	0.5451745493216366	0.1315513491832777	1.334873931026362	1.0185457756844274	16.040979745642957	72.4105461393597	385.811320754717	122.57575757575758	429.0909090909091	102.12121212121212	588.6363636363636	355.3030303030303	330.90909090909093	403.7878787878788	260.75757575757575	239.84848484848487	272.72727272727275	213.93939393939394	396.6666666666667	260.0	251.21212121212122	168.4848484848485	226.66666666666669	169.84848484848484	205.0	229.84848484848487	168.93939393939394	153.03030303030303	165.9090909090909	129.54545454545456	156.8181818181818	113.03030303030303	115.90909090909092	104.0909090909091	94.0909090909091	123.18181818181819	100.15151515151516	92.72727272727273	105.0	94.3939393939394	99.3939393939394	97.27272727272728	90.90909090909092	76.21212121212122	80.15151515151516	69.0909090909091	76.81818181818183	78.03030303030303	61.515151515151516	76.51515151515152	82.27272727272728	69.39393939393939	60.0	89.6969696969697	56.66666666666667	53.333333333333336	50.909090909090914	69.39393939393939	55.75757575757576	49.3939393939394	68.93939393939394	46.96969696969697	56.66666666666667	75.0	65.9090909090909	45.75757575757576	56.969696969696976	75.9090909090909	44.3939393939394	48.18181818181819	83.18181818181819	36.36363636363637	65.15151515151516	58.48484848484849	51.21212121212122	77.87878787878789	64.0909090909091	53.484848484848484	48.63636363636364	52.42424242424243	57.42424242424243	66.21212121212122	47.42424242424243	80.9090909090909	56.21212121212122	60.151515151515156	66.81818181818183	50.151515151515156	59.84848484848485	54.09090909090909	50.909090909090914	71.36363636363637	54.54545454545455	105.45454545454545	73.7878787878788	164.0909090909091	2643.4848484848485
C-354_2 - Adapter 1	0.38309762307145817	0.45632212119563553	0.6493621959025301	0.08383703774213508	0.5506216320551669	0.10842986115224178	1.198280676222226	0.9178907466323699	13.72055239642567	61.73347778981582	370.60606060606057	106.55172413793103	244.31034482758622	85.6896551724138	331.3793103448276	223.10344827586206	191.55172413793105	213.10344827586206	152.41379310344828	162.93103448275863	175.51724137931035	154.13793103448276	226.55172413793105	146.89655172413794	136.3793103448276	100.51724137931035	131.55172413793105	126.72413793103449	108.27586206896552	116.72413793103449	107.58620689655173	102.75862068965517	103.44827586206897	82.75862068965517	126.20689655172414	75.0	92.41379310344828	89.48275862068965	73.79310344827586	91.20689655172414	77.75862068965517	80.86206896551724	96.0344827586207	73.62068965517241	71.0344827586207	80.51724137931035	71.37931034482759	76.55172413793103	71.0344827586207	86.89655172413794	59.13793103448276	83.27586206896552	70.3448275862069	75.3448275862069	71.72413793103449	66.0344827586207	63.275862068965516	83.62068965517241	71.72413793103449	60.0	60.862068965517246	104.82758620689656	70.51724137931035	63.793103448275865	81.37931034482759	61.896551724137936	59.310344827586206	83.96551724137932	62.41379310344828	60.3448275862069	73.62068965517241	78.44827586206897	47.06896551724138	59.310344827586206	87.58620689655173	32.41379310344828	75.51724137931035	76.55172413793103	57.41379310344828	86.55172413793103	86.0344827586207	67.75862068965517	64.82758620689656	68.96551724137932	62.758620689655174	72.93103448275862	68.62068965517241	117.58620689655173	75.6896551724138	75.51724137931035	92.24137931034483	55.0	70.6896551724138	63.275862068965516	58.96551724137931	85.17241379310344	52.58620689655172	140.86206896551724	88.27586206896552	165.86206896551724	1251.5517241379312
C-354_3 - Adapter 1	0.38445841644628326	0.4533112557004956	0.6519051037711078	0.08608051297119008	0.5500271789632207	0.11388106530972648	1.296068796068796	0.9889434889434889	14.219343310252402	65.50491510277033	347.9642857142857	115.42857142857143	306.2857142857143	95.0	399.42857142857144	268.42857142857144	224.57142857142858	266.57142857142856	182.28571428571428	170.57142857142858	209.14285714285714	173.85714285714286	256.2857142857143	181.28571428571428	183.0	120.85714285714286	152.28571428571428	132.0	138.71428571428572	117.14285714285714	131.85714285714286	142.14285714285714	125.0	88.42857142857143	87.0	74.71428571428571	76.28571428571429	98.85714285714286	73.0	90.57142857142857	79.42857142857143	85.57142857142857	103.85714285714286	79.14285714285714	84.71428571428571	89.85714285714286	81.14285714285714	75.57142857142857	73.57142857142857	70.71428571428571	73.0	82.71428571428571	68.57142857142857	74.71428571428571	76.28571428571429	64.42857142857143	50.857142857142854	89.14285714285714	55.857142857142854	58.0	55.857142857142854	75.14285714285714	56.0	60.285714285714285	67.28571428571429	60.42857142857143	49.57142857142857	77.28571428571429	62.714285714285715	42.714285714285715	57.142857142857146	67.14285714285714	40.142857142857146	43.42857142857143	94.85714285714286	33.57142857142857	68.85714285714286	71.57142857142857	53.857142857142854	87.85714285714286	62.57142857142857	63.714285714285715	54.857142857142854	68.71428571428571	57.857142857142854	69.57142857142857	62.857142857142854	89.42857142857143	60.57142857142857	74.0	74.14285714285714	44.285714285714285	56.714285714285715	52.857142857142854	56.42857142857143	59.714285714285715	47.857142857142854	134.14285714285714	85.14285714285714	176.85714285714286	2208.5714285714284
P29-215_1 - Adapter 1	0.40321089660212023	0.4817209187061349	0.6802991776570677	0.0742920756440603	0.6020202315875234	0.11694051986574039	1.2569276403091094	0.992896729373195	14.077427411801436	61.21098626716605	300.15	111.2	256.2	112.0	317.8	280.0	179.0	220.6	183.8	167.2	197.8	182.8	251.4	144.2	165.2	117.4	126.2	178.8	167.4	452.4	137.2	126.0	126.2	102.2	123.4	72.6	102.6	80.2	71.0	94.0	68.4	103.8	133.0	74.8	63.2	73.0	71.0	87.4	84.4	67.0	88.4	93.4	61.4	91.6	88.4	82.8	57.2	150.8	73.6	60.8	66.8	72.2	80.2	76.0	90.4	73.6	68.2	93.8	83.0	74.0	67.8	121.6	50.8	52.2	128.2	47.0	91.4	87.2	63.6	99.6	83.4	71.8	92.2	74.8	80.8	74.0	87.6	94.2	82.6	85.2	87.8	57.0	84.6	81.0	60.4	93.8	66.4	161.0	100.8	170.6	1265.6
P29-215_2 - Adapter 1	0.37615303229474367	0.4459257561530853	0.6354496140375724	0.07700014775207349	0.566525203618579	0.1314525645599495	1.2271045038263706	1.0531928239869526	17.150025087807325	79.77911646586345	321.40562248995985	128.06451612903226	441.61290322580646	119.19354838709677	535.8064516129032	358.22580645161287	277.5806451612903	320.80645161290323	242.74193548387095	233.06451612903226	257.4193548387097	218.2258064516129	327.09677419354836	218.2258064516129	222.25806451612902	154.3548387096774	205.32258064516128	181.93548387096774	168.70967741935485	160.32258064516128	181.93548387096774	197.5806451612903	189.03225806451613	105.80645161290322	97.41935483870968	82.25806451612902	115.80645161290322	92.74193548387096	76.61290322580645	103.06451612903226	91.45161290322581	126.93548387096774	146.7741935483871	87.41935483870968	96.45161290322581	120.48387096774194	89.19354838709677	89.03225806451613	83.06451612903226	75.48387096774194	90.32258064516128	102.41935483870968	66.77419354838709	87.58064516129032	77.90322580645162	75.48387096774194	62.25806451612903	139.83870967741936	70.48387096774194	64.19354838709677	69.19354838709677	65.3225806451613	65.48387096774194	72.74193548387096	79.03225806451613	66.12903225806451	69.03225806451613	79.03225806451613	65.16129032258064	60.64516129032258	53.225806451612904	95.80645161290322	46.29032258064516	44.03225806451613	117.41935483870968	44.67741935483871	80.80645161290322	77.09677419354838	52.74193548387097	90.96774193548387	76.61290322580645	65.64516129032258	76.29032258064515	77.25806451612902	59.354838709677416	63.225806451612904	76.12903225806451	98.54838709677419	72.58064516129032	74.6774193548387	79.19354838709677	52.74193548387097	67.25806451612902	72.74193548387096	53.225806451612904	80.96774193548387	56.45161290322581	145.80645161290323	97.58064516129032	205.32258064516128	3320.806451612903
P29-215_3 - Adapter 1	0.38050111538935566	0.45000496401191226	0.6435787100881754	0.07356632079901082	0.5680092978619637	0.12326353381684313	1.2335792835454589	1.0634950600969102	16.85124590989177	79.09365558912387	296.5725806451613	130.96774193548387	361.93548387096774	128.54838709677418	482.41935483870964	322.5806451612903	247.09677419354838	311.1290322580645	236.7741935483871	219.19354838709677	249.19354838709677	222.74193548387098	315.48387096774195	222.41935483870967	216.7741935483871	146.93548387096774	185.64516129032256	160.16129032258064	180.32258064516128	181.29032258064515	189.51612903225805	207.74193548387098	182.5806451612903	108.2258064516129	93.87096774193549	98.54838709677419	111.93548387096774	116.12903225806451	84.51612903225806	120.16129032258064	87.58064516129032	132.90322580645162	143.70967741935485	106.12903225806451	99.03225806451613	100.32258064516128	83.54838709677419	85.48387096774194	96.93548387096774	68.54838709677419	93.06451612903226	80.16129032258064	71.29032258064515	67.25806451612902	88.70967741935483	72.58064516129032	58.87096774193548	142.74193548387098	64.35483870967742	74.51612903225806	69.83870967741936	64.51612903225806	66.12903225806451	67.58064516129032	80.96774193548387	68.2258064516129	71.45161290322581	91.77419354838709	72.74193548387096	69.35483870967742	66.61290322580645	88.87096774193549	56.935483870967744	43.54838709677419	129.19354838709677	40.96774193548387	84.19354838709677	76.93548387096774	63.064516129032256	85.16129032258064	70.3225806451613	70.80645161290322	75.48387096774194	79.6774193548387	75.0	66.61290322580645	75.64516129032258	91.45161290322581	70.16129032258064	72.25806451612902	75.32258064516128	63.54838709677419	79.6774193548387	66.77419354838709	55.483870967741936	68.70967741935483	57.25806451612903	130.96774193548387	100.0	193.38709677419354	2267.4193548387098
P29-354_1 - Adapter 1	0.39536554547641006	0.46661330892541686	0.6724591396972643	0.08845490156507177	0.555686360594677	0.11096201303644326	1.336354623990936	1.0202809879900294	13.28348062542488	63.02810516772439	335.1811594202898	107.82608695652173	297.39130434782606	93.6231884057971	373.3333333333333	248.1159420289855	198.26086956521738	232.6086956521739	173.47826086956522	154.4927536231884	194.4927536231884	161.59420289855072	235.3623188405797	159.56521739130434	146.37681159420288	108.40579710144927	132.8985507246377	134.63768115942028	120.8695652173913	135.5072463768116	119.56521739130434	105.79710144927536	98.40579710144927	85.79710144927536	117.82608695652173	94.20289855072463	74.05797101449275	84.34782608695652	76.95652173913044	78.69565217391303	88.55072463768116	82.02898550724638	92.6086956521739	59.27536231884058	67.10144927536231	88.26086956521739	79.71014492753623	80.72463768115942	66.52173913043478	59.27536231884058	74.63768115942028	75.65217391304347	57.391304347826086	71.44927536231884	73.04347826086956	67.68115942028984	48.69565217391304	78.84057971014492	49.85507246376811	54.78260869565217	55.21739130434782	57.826086956521735	54.63768115942029	52.17391304347826	61.88405797101449	51.449275362318836	53.768115942028984	81.30434782608695	66.81159420289855	56.3768115942029	57.53623188405797	70.43478260869564	42.17391304347826	43.33333333333333	83.18840579710144	24.057971014492754	65.79710144927536	65.79710144927536	52.31884057971014	80.43478260869564	64.05797101449275	50.289855072463766	49.71014492753623	54.927536231884055	59.85507246376811	72.46376811594203	58.405797101449274	70.8695652173913	56.81159420289855	65.65217391304347	80.14492753623188	46.3768115942029	57.97101449275362	53.33333333333333	47.68115942028985	74.05797101449275	53.33333333333333	132.31884057971013	72.02898550724638	167.1014492753623	2510.2898550724635
