Sample	Reads passing filters
C-215_1	105433971.0
C-215_2	104293311.0
C-215_3	95534684.0
C-354_1	111311705.0
C-354_2	96818695.0
C-354_3	117361374.0
P29-215_1	83958356.0
P29-215_2	104477733.0
P29-215_3	104141571.0
P29-354_1	115687056.0
P29-354_2	96171303.0
P29-354_3	92453479.0
Q2-215_1	107735407.0
Q2-215_2	102142154.0
Q2-215_3	113835125.0
Q2-354_1	86277995.0
Q2-354_2	120979670.0
Q2-354_3	81208663.0
