Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
C-215_1	0.9195527691923886	0.11062184122800423
C-215_2	0.5672127908567405	0.1393493011263206
C-215_3	0.7624236240735354	0.10286107190138405
C-354_1	1.293748038447529	0.11356936810913099
C-354_2	0.5056275546783604	0.0
C-354_3	0.8658129718215467	0.14014491684461705
P29-215_1	0.2267838593695189	0.0
P29-215_2	1.3677957579726583	0.741434540889206
P29-215_3	0.8752508640377626	0.2648164391528144
P29-354_1	1.1404655331535103	0.1245861075417114
P29-354_2	0.7647832326863658	0.1442041395654169
P29-354_3	1.430649245768242	1.445969383153229
Q2-215_1	2.543198263501246	1.0662372120615835
Q2-215_2	1.9682931299843158	0.853364615749145
Q2-215_3	1.339599706153966	0.9406103783871631
Q2-354_1	0.28158396587681483	0.0
Q2-354_2	6.061000992976754	2.834577908833773
Q2-354_3	0.7192680908932093	0.0
